Source: ACS 1-Year Estimates 1-Year Estimates-Public Use Microdata Sample 2019
Weight used: PWGTP
"Universe: selected geographies: Sacramento County (Central)..."
"CON-First-Line Supervisors Of Construction Trades And Extraction Workers","141"
"CON-Boilermakers","0"
"CON-Carpenters","176"
"CON-Carpet, Floor, And Tile Installers And Finishers","280"
"CON-Cement Masons, Concrete Finishers, And Terrazzo Workers","0"
"CON-Construction Laborers","775"
"CON-Construction Equipment Operators","80"
"CON-Drywall Installers, Ceiling Tile Installers, And Tapers","135"
"CON-Electricians","313"
"CON-Glaziers","0"
"CON-Insulation Workers","0"
"CON-Painters And Paperhangers","738"
"CON-Pipelayers","77"
"CON-Plumbers, Pipefitters, And Steamfitters","80"
"CON-Plasterers And Stucco Masons","0"
"CON-Roofers","0"
"CON-Sheet Metal Workers","0"
"CON-Structural Iron And Steel Workers","0"
"CON-Solar Photovoltaic Installers","93"
"CON-Brickmasons, Blockmasons, Stonemasons, And Reinforcing Iron And Rebar Workers","0"
"CON-Helpers, Construction Trades","0"
"CON-Construction And Building Inspectors","0"
"CON-Elevator And Escalator Installers And Repairers","0"
"CON-Fence Erectors","0"
"CON-Hazardous Materials Removal Workers","70"
"CON-Highway Maintenance Workers","95"
"CON-Rail-Track Laying And Maintenance Equipment Operators","0"
"CON-Other Construction And Related Workers","0"
"EXT-Surface Mining Machine Operators And Earth Drillers","0"
"EXT-Explosives Workers, Ordnance Handling Experts, And Blasters","0"
"EXT-Underground Mining Machine Operators","0"
"EXT-Other Extraction Workers","0"
"EXT-Derrick, Rotary Drill, And Service Unit Operators, And Roustabouts, Oil, Gas, And Mining","0"
"RPR-First-Line Supervisors Of Mechanics, Installers, And Repairers","62"
"RPR-Computer, Automated Teller, And Office Machine Repairers","109"
"RPR-Radio And Telecommunications Equipment Installers And Repairers","289"
"RPR-Avionics Technicians","57"
"RPR-Electric Motor, Power Tool, And Related Repairers","0"
"RPR-Audiovisual Equipment Installers And Repairers","0"
"RPR-Security And Fire Alarm Systems Installers","73"
